text,sentiment
آءٌ اڄ خوش آهيان,positive
مون کي هي فلم نه وڻي,negative
اڄ جو ڏينهن سٺو هو,positive
مون کي هن شيءِ سان نفرت آهي,negative
هي بهترين تجربي مان هڪ آهي,positive
هي موسم تمام خراب آهي,negative
آءٌ تمام خوش محسوس ڪري رهيو آهيان,positive
مون کي مايوسي ٿي آهي,negative
هي ڪم سٺو ٿيو,positive
هي خدمت تمام خراب هئي,negative
مون کي سٺو محسوس ٿيو,positive
هي تمام خراب تجربي هو,negative
مون کي سٺي خبر ملي,positive
هي خوفناڪ آهي,negative
آءٌ پرجوش آهيان,positive
مون کي ڏک آهي,negative
هي بهترين ڏينهن آهي,positive
مون کي هن شيءِ سان پيار آهي,positive
هي خراب آهي,negative
هي سٺو آهي,positive
هي فلم ڏاڍي مزيدار هئي.,Positive
نتيجو اميدن مطابق بهترين نڪتو.,Positive
هو مارڪيٽ ويو هو.,Neutral
اهو ڏينهن خوشيءَ سان ڀرپور هو.,Positive
مان تمام گهڻو مطمئن آهيان.,Positive
مان چانهه پي رهيو آهيان.,Neutral
پروجيڪٽ تي ڪم جاري آهي.,Neutral
زندگي تمام خوبصورت آهي.,Positive
اهو ماڻهو پارڪ ۾ آهي.,Neutral
هي فلم بلڪل خراب هئي.,Negative
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
مون کي هي شيءِ بلڪل پسند نه آئي.,Negative
توهان جو ڪم بهترين آهي.,Positive
توهان جو ڪم بهترين آهي.,Positive
مان چانهه پي رهيو آهيان.,Neutral
مان تمام گهڻو مطمئن آهيان.,Positive
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
زندگي تمام خوبصورت آهي.,Positive
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
مان تمام گهڻو مطمئن آهيان.,Positive
هن جو رويي تمام سٺو هو.,Positive
ڪلاس وقت تي شروع ٿيو.,Neutral
مان چانهه پي رهيو آهيان.,Neutral
هو ٽي وي ڏسي رهيو هو.,Neutral
اهو ماڻهو پارڪ ۾ آهي.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
اڄ سومر آهي.,Neutral
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
توهان جو رويو بلڪل سٺو نه هو.,Negative
اڄ موسم عام آهي.,Neutral
اڄ سومر آهي.,Neutral
هي فلم ڏاڍي مزيدار هئي.,Positive
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
ڪتاب ميز تي رکيل آهي.,Neutral
نتيجو اميدن مطابق بهترين نڪتو.,Positive
توهان جو ڪم بهترين آهي.,Positive
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
هو دڪان مان واپس آيو.,Neutral
هي فلم بلڪل خراب هئي.,Negative
هو دڪان مان واپس آيو.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
هن جو رويي تمام سٺو هو.,Positive
ڪتاب ميز تي رکيل آهي.,Neutral
نتيجو اميدن مطابق بهترين نڪتو.,Positive
هو دڪان مان واپس آيو.,Neutral
زندگي تمام خوبصورت آهي.,Positive
اهو ڏينهن خوشيءَ سان ڀرپور هو.,Positive
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
هو مارڪيٽ ويو هو.,Neutral
هي فلم ڏاڍي مزيدار هئي.,Positive
مان تمام گهڻو مايوس آهيان.,Negative
هو ٽي وي ڏسي رهيو هو.,Neutral
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
مان تمام گهڻو مايوس آهيان.,Negative
هي فلم بلڪل خراب هئي.,Negative
اهو ماڻهو پارڪ ۾ آهي.,Neutral
مان تمام گهڻو مطمئن آهيان.,Positive
هي فلم ڏاڍي مزيدار هئي.,Positive
مان چانهه پي رهيو آهيان.,Neutral
اڄ موسم عام آهي.,Neutral
اڄ سومر آهي.,Neutral
اڄ سومر آهي.,Neutral
مان چانهه پي رهيو آهيان.,Neutral
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي.,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
مان تمام گهڻو مايوس آهيان.,Negative
هي فيصلو بلڪل غلط هو.,Negative
اڄ موسم عام آهي.,Neutral
هي فلم ڏاڍي مزيدار هئي.,Positive
مان تمام گهڻو مايوس آهيان.,Negative
هي فلم ڏاڍي مزيدار هئي.,Positive
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
هو مارڪيٽ ويو هو.,Neutral
توهان سان ملڻ وڏي خوشي هئي.,Positive
اهو ماڻهو پارڪ ۾ آهي.,Neutral
اهو ڏينهن خوشيءَ سان ڀرپور هو.,Positive
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
هو ٽي وي ڏسي رهيو هو.,Neutral
هو ٽي وي ڏسي رهيو هو.,Neutral
نتيجو اميدن مطابق بهترين نڪتو.,Positive
توهان سان ملڻ وڏي خوشي هئي.,Positive
پروجيڪٽ تي ڪم جاري آهي.,Neutral
توهان جو ڪم بهترين آهي.,Positive
اڄ موسم عام آهي.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي.,Negative
مان تمام گهڻو مايوس آهيان.,Negative
هن جو رويي تمام سٺو هو.,Positive
اڄ موسم عام آهي.,Neutral
توهان جو ڪم بهترين آهي.,Positive
مون کي هي ڪم ڪرڻ ۾ ڏکيائي ٿي.,Negative
هي فيصلو بلڪل غلط هو.,Negative
ڪتاب ميز تي رکيل آهي.,Neutral
هو دڪان مان واپس آيو.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
پروجيڪٽ تي ڪم جاري آهي.,Neutral
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
هو ٽي وي ڏسي رهيو هو.,Neutral
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
مان تمام گهڻو مايوس آهيان.,Negative
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
هن جو رويي تمام سٺو هو.,Positive
توهان جو ڪم بهترين آهي.,Positive
هو مارڪيٽ ويو هو.,Neutral
هو مارڪيٽ ويو هو.,Neutral
هو دڪان مان واپس آيو.,Neutral
هن جو رويي تمام سٺو هو.,Positive
هو دڪان مان واپس آيو.,Neutral
هي فلم ڏاڍي مزيدار هئي.,Positive
هن جو رويي تمام سٺو هو.,Positive
توهان جو ڪم بهترين آهي.,Positive
هي فيصلو بلڪل غلط هو.,Negative
نتيجو اميدن مطابق بهترين نڪتو.,Positive
مان تمام گهڻو مطمئن آهيان.,Positive
هي فيصلو بلڪل غلط هو.,Negative
مون کي هي شيءِ تمام گهڻي پسند آئي.,Positive
هو دڪان مان واپس آيو.,Neutral
پروجيڪٽ تي ڪم جاري آهي.,Neutral
مان چانهه پي رهيو آهيان.,Neutral
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
نتيجو اميدن مطابق بهترين نڪتو.,Positive
هو ٽي وي ڏسي رهيو هو.,Neutral
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
توهان سان ڳالهائڻ جو تجربو خراب هو.,Negative
نتيجو اميدن مطابق بهترين نڪتو.,Positive
زندگي تمام خوبصورت آهي.,Positive
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
اهو ڏينهن ڏاڍو خراب گذريو.,Negative
زندگي تمام خوبصورت آهي.,Positive
اڄ سومر آهي.,Neutral
هي فيصلو بلڪل غلط هو.,Negative
هي جڳهه تمام شور شرابو ۽ بي آرام آهي.,Negative
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
هو مارڪيٽ ويو هو.,Neutral
توهان جو ڪم بهترين آهي.,Positive
هو ٽي وي ڏسي رهيو هو.,Neutral
زندگي ڏاڍي ڏکي لڳي ٿي.,Negative
ڪلاس وقت تي شروع ٿيو.,Neutral
مان چانهه پي رهيو آهيان.,Neutral
مان چانهه پي رهيو آهيان.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
ڪلاس وقت تي شروع ٿيو.,Neutral
ڪتاب ميز تي رکيل آهي.,Neutral
هي فلم بلڪل خراب هئي.,Negative
پروجيڪٽ تي ڪم جاري آهي.,Neutral
توهان سان ملڻ وڏي خوشي هئي.,Positive
هو مارڪيٽ ويو هو.,Neutral
هي جڳهه تمام پرسڪون ۽ شاندار آهي.,Positive
هو مارڪيٽ ويو هو.,Neutral
